semester,name,dayOfWeek,week,period,teacher,weeks,location,courseType,className
2025-1,高等数学(上),星期二,1,03-04,刘教授,1-18周,教B102,必修课,计算机科学与技术2303班
2025-1,线性代数,星期三,1,03-04,陈教授,1-18周,教A203,必修课,计算机科学与技术2303班
2025-1,大学英语(一),星期四,1,03-04,李教授,1-18周,教C202,必修课,计算机科学与技术2303班
2025-1,深度学习,星期五,1,03-04,孙教授,1-18周,教B303,选修课,计算机科学与技术2303班
2025-1,机器学习,星期一,1,05-06,刘教授,1-18周,外语楼301,选修课,计算机科学与技术2303班
2025-1,大学英语(三),星期二,1,05-06,李教授,1-18周,外语楼301,必修课,计算机科学与技术2303班
2025-1,大数据分析,星期一,1,01-02,王教授,1-18周,教B303,选修课,计算机科学与技术2304班
2025-1,概率论与数理统计,星期二,1,01-02,李教授,1-18周,教B201,必修课,计算机科学与技术2304班
2025-1,大学英语(一),星期三,1,01-02,周教授,1-18周,机房C102,必修课,计算机科学与技术2304班
2025-1,深度学习,星期四,1,01-02,王教授,1-18周,教A301,选修课,计算机科学与技术2304班
2025-1,机器学习,星期五,1,01-02,朱教授,1-18周,图书馆报告厅,选修课,计算机科学与技术2304班
2025-1,高等数学(上),星期一,1,03-04,李教授,1-18周,教A303,必修课,计算机科学与技术2304班
2025-1,大学英语(三),星期二,1,03-04,郑教授,1-18周,教B301,必修课,计算机科学与技术2304班
2025-1,人工智能导论,星期三,1,03-04,朱教授,1-18周,教C202,选修课,计算机科学与技术2304班
2025-1,高等数学(下),星期四,1,03-04,刘教授,1-18周,外语楼301,必修课,计算机科学与技术2304班
2025-1,线性代数,星期五,1,03-04,朱教授,1-18周,教B301,必修课,计算机科学与技术2304班
2025-1,大学英语(四),星期一,1,05-06,刘教授,1-18周,教A201,必修课,计算机科学与技术2304班
2025-1,大学英语(二),星期二,1,05-06,吴教授,1-18周,教A101,必修课,计算机科学与技术2304班
2025-1,大数据分析,星期一,1,01-02,李教授,1-18周,教A203,选修课,计算机科学与技术2401班
2025-1,大学英语(四),星期二,1,01-02,吴教授,1-18周,教C202,必修课,计算机科学与技术2401班
2025-1,线性代数,星期三,1,01-02,朱教授,1-18周,教A303,必修课,计算机科学与技术2401班
2025-1,人工智能导论,星期一,1,07-08,周教授,1-18周,教C203,选修课,计算机科学与技术2202班
2025-1,人工智能导论,星期五,1,01-02,赵教授,1-18周,教A103,选修课,计算机科学与技术2401班
2025-1,大学英语(一),星期一,1,03-04,张教授,1-18周,教B303,必修课,计算机科学与技术2401班
2025-1,高等数学(上),星期二,1,03-04,张教授,1-18周,教C202,必修课,计算机科学与技术2401班
2025-1,机器学习,星期三,1,03-04,陈教授,1-18周,教B203,选修课,计算机科学与技术2401班
2025-1,大学英语(一),星期四,1,09-10,周教授,1-18周,机房C102,必修课,计算机科学与技术2304班
2025-1,大学英语(三),星期五,1,03-04,吴教授,1-18周,教B302,必修课,计算机科学与技术2401班
2025-1,高等数学(下),星期一,1,05-06,郑教授,1-18周,教C202,必修课,计算机科学与技术2401班
2025-1,大学英语(二),星期二,1,05-06,郑教授,1-18周,教B102,必修课,计算机科学与技术2401班
2025-1,深度学习,星期三,1,09-10,吴教授,1-18周,教C102,选修课,计算机科学与技术2301班
2025-1,大学英语(一),星期二,1,01-02,孙教授,1-18周,教C101,必修课,计算机科学与技术2402班
2025-1,大学英语(三),星期三,1,01-02,马教授,1-18周,外语楼501,必修课,计算机科学与技术2402班
2025-1,高等数学(上),星期四,1,01-02,张教授,1-18周,教B201,必修课,计算机科学与技术2402班
2025-1,深度学习,星期五,1,01-02,周教授,1-18周,教B202,选修课,计算机科学与技术2402班
2025-1,概率论与数理统计,星期一,1,03-04,刘教授,1-18周,机房B101,必修课,计算机科学与技术2402班
2025-1,线性代数,星期二,1,03-04,郑教授,1-18周,教C301,必修课,计算机科学与技术2402班
2025-1,大数据分析,星期三,1,03-04,王教授,1-18周,外语楼101,选修课,计算机科学与技术2402班
2025-1,大学英语(二),星期四,1,03-04,刘教授,1-18周,教A302,必修课,计算机科学与技术2402班
2025-1,高等数学(下),星期五,1,03-04,马教授,1-18周,教B103,必修课,计算机科学与技术2402班
2025-1,人工智能导论,星期一,1,05-06,刘教授,1-18周,教B102,选修课,计算机科学与技术2402班
2025-1,机器学习,星期二,1,05-06,郑教授,1-18周,教A302,选修课,计算机科学与技术2402班
2025-1,高等数学(上),星期一,1,01-02,张教授,1-18周,外语楼201,必修课,计算机科学与技术2403班
2025-1,高等数学(下),星期二,1,01-02,孙教授,1-18周,外语楼301,必修课,计算机科学与技术2403班
2025-1,人工智能导论,星期三,1,01-02,郑教授,1-18周,教A303,选修课,计算机科学与技术2403班
2025-1,深度学习,星期四,1,01-02,郑教授,1-18周,机房C102,选修课,计算机科学与技术2403班
2025-1,线性代数,星期五,1,01-02,赵教授,1-18周,机房C102,必修课,计算机科学与技术2403班
2025-1,大学英语(二),星期一,1,03-04,郑教授,1-18周,教C202,必修课,计算机科学与技术2403班
2025-1,大学英语(三),星期二,1,03-04,吴教授,1-18周,教B201,必修课,计算机科学与技术2403班
2025-1,大学英语(一),星期三,1,03-04,郑教授,1-18周,外语楼401,必修课,计算机科学与技术2403班
2025-1,大学英语(四),星期四,1,03-04,吴教授,1-18周,外语楼401,必修课,计算机科学与技术2403班
2025-1,大数据分析,星期五,1,03-04,刘教授,1-18周,教A103,选修课,计算机科学与技术2403班
2025-1,机器学习,星期一,1,05-06,陈教授,1-18周,教C103,选修课,计算机科学与技术2403班
2025-1,概率论与数理统计,星期二,1,05-06,陈教授,1-18周,教A102,必修课,计算机科学与技术2403班
2025-1,高等数学(上),星期二,1,03-04,赵教授,1-18周,教C103,必修课,计算机科学与技术2203班
2025-1,线性代数,星期二,1,01-02,郑教授,1-18周,教C103,必修课,计算机科学与技术2404班
2025-1,大学英语(一),星期三,1,01-02,陈教授,1-18周,教A102,必修课,计算机科学与技术2404班
2025-1,大学英语(三),星期四,1,01-02,孙教授,1-18周,教B203,必修课,计算机科学与技术2404班
2025-1,人工智能导论,星期五,1,01-02,王教授,1-18周,教A203,选修课,计算机科学与技术2404班
2025-1,大数据分析,星期一,1,03-04,周教授,1-18周,教B302,选修课,计算机科学与技术2404班
2025-1,高等数学(下),星期二,1,03-04,郑教授,1-18周,教B102,必修课,计算机科学与技术2404班
2025-1,高等数学(上),星期三,1,03-04,吴教授,1-18周,教B202,必修课,计算机科学与技术2404班
2025-1,深度学习,星期四,1,03-04,陈教授,1-18周,教B202,选修课,计算机科学与技术2404班
2025-1,大学英语(四),星期五,1,03-04,李教授,1-18周,外语楼201,必修课,计算机科学与技术2404班
2025-1,概率论与数理统计,星期一,1,05-06,李教授,1-18周,教C201,必修课,计算机科学与技术2404班
2025-1,机器学习,星期二,1,05-06,周教授,1-18周,教C301,选修课,计算机科学与技术2404班
2025-1,线性代数,星期一,1,01-02,张教授,1-18周,教C202,必修课,软件工程2101班
2025-1,大学英语(一),星期二,1,01-02,郑教授,1-18周,教B202,必修课,软件工程2101班
2025-1,大学英语(三),星期三,1,01-02,赵教授,1-18周,教C302,必修课,软件工程2101班
2025-1,高等数学(下),星期四,1,01-02,张教授,1-18周,教A102,必修课,软件工程2101班
2025-1,高等数学(上),星期五,1,01-02,李教授,1-18周,外语楼501,必修课,软件工程2101班
2025-1,大学英语(四),星期二,1,01-02,赵教授,1-18周,教A202,必修课,软件工程2103班
2025-1,人工智能导论,星期二,1,03-04,马教授,1-18周,机房A102,选修课,软件工程2101班
2025-1,深度学习,星期三,1,03-04,张教授,1-18周,教B202,选修课,软件工程2101班
2025-1,大学英语(三),星期五,1,03-04,赵教授,1-18周,外语楼101,必修课,软件工程2104班
2025-1,概率论与数理统计,星期五,1,03-04,周教授,1-18周,外语楼201,必修课,软件工程2101班
2025-1,大数据分析,星期一,1,05-06,孙教授,1-18周,教A102,选修课,软件工程2101班
2025-1,大学英语(二),星期二,1,05-06,王教授,1-18周,教C101,必修课,软件工程2101班
2025-1,概率论与数理统计,星期一,1,01-02,孙教授,1-18周,教A101,必修课,软件工程2102班
2025-1,线性代数,星期二,1,01-02,赵教授,1-18周,教B303,必修课,软件工程2102班
2025-1,高等数学(上),星期三,1,01-02,朱教授,1-18周,外语楼201,必修课,软件工程2102班
2025-1,大学英语(三),星期四,1,01-02,王教授,1-18周,教B203,必修课,软件工程2102班
2025-1,高等数学(下),星期五,1,01-02,李教授,1-18周,外语楼301,必修课,软件工程2102班
2025-1,大数据分析,星期一,1,03-04,马教授,1-18周,教C102,选修课,软件工程2102班
2025-1,概率论与数理统计,星期五,1,09-10,刘教授,1-18周,机房B101,必修课,计算机科学与技术2402班
2025-1,机器学习,星期三,1,03-04,周教授,1-18周,教C302,选修课,软件工程2102班
2025-1,深度学习,星期四,1,03-04,王教授,1-18周,教C201,选修课,软件工程2102班
2025-1,大学英语(二),星期五,1,03-04,孙教授,1-18周,教C102,必修课,软件工程2102班
2025-1,大学英语(一),星期一,1,05-06,孙教授,1-18周,教C202,必修课,软件工程2102班
2025-1,大学英语(四),星期二,1,05-06,朱教授,1-18周,教C103,必修课,软件工程2102班
2025-1,大学英语(二),星期一,1,01-02,刘教授,1-18周,教A202,必修课,软件工程2103班
2025-1,大数据分析,星期二,1,01-02,陈教授,1-18周,教C301,选修课,软件工程2103班
2025-1,大学英语(四),星期三,1,01-02,赵教授,1-18周,教A202,必修课,软件工程2103班
2025-1,线性代数,星期四,1,01-02,郑教授,1-18周,教C102,必修课,软件工程2103班
2025-1,高等数学(上),星期五,1,01-02,周教授,1-18周,教A302,必修课,软件工程2103班
2025-1,机器学习,星期一,1,03-04,刘教授,1-18周,教A101,选修课,软件工程2103班
2025-1,深度学习,星期二,1,03-04,朱教授,1-18周,教B302,选修课,软件工程2103班
2025-1,概率论与数理统计,星期三,1,03-04,郑教授,1-18周,外语楼501,必修课,软件工程2103班
2025-1,人工智能导论,星期四,1,03-04,陈教授,1-18周,教B201,选修课,软件工程2103班
2025-1,深度学习,星期三,1,07-08,朱教授,1-18周,教A103,选修课,软件工程2203班
2025-1,大学英语(一),星期一,1,05-06,吴教授,1-18周,教B201,必修课,软件工程2103班
2025-1,高等数学(下),星期二,1,05-06,朱教授,1-18周,教C203,必修课,软件工程2103班
2025-1,线性代数,星期二,1,09-10,赵教授,1-18周,机房B102,必修课,计算机科学与技术2102班
2025-1,人工智能导论,星期二,1,01-02,张教授,1-18周,教C301,选修课,软件工程2104班
2025-1,大数据分析,星期三,1,05-06,李教授,1-18周,教C202,选修课,计算机科学与技术2202班
2025-1,大学英语(二),星期四,1,01-02,陈教授,1-18周,教B201,必修课,软件工程2104班
2025-1,大学英语(一),星期五,1,01-02,陈教授,1-18周,外语楼501,必修课,软件工程2104班
2025-1,概率论与数理统计,星期一,1,03-04,孙教授,1-18周,教A303,必修课,软件工程2104班
2025-1,深度学习,星期二,1,03-04,王教授,1-18周,教B102,选修课,软件工程2104班
2025-1,大学英语(三),星期三,1,03-04,赵教授,1-18周,外语楼101,必修课,软件工程2104班
2025-1,高等数学(下),星期四,1,03-04,陈教授,1-18周,教A102,必修课,软件工程2104班
2025-1,大数据分析,星期五,1,03-04,吴教授,1-18周,机房A101,选修课,软件工程2104班
2025-1,高等数学(上),星期一,1,05-06,马教授,1-18周,机房A101,必修课,软件工程2104班
2025-1,机器学习,星期二,1,05-06,王教授,1-18周,教C201,选修课,软件工程2104班
2025-1,线性代数,星期一,1,01-02,王教授,1-18周,教C103,必修课,软件工程2201班
2025-1,大学英语(二),星期三,1,11-12,李教授,1-18周,教C103,必修课,计算机科学与技术2202班
2025-1,大学英语(一),星期三,1,01-02,王教授,1-18周,教A201,必修课,软件工程2201班
2025-1,概率论与数理统计,星期四,1,01-02,赵教授,1-18周,教B301,必修课,软件工程2201班
2025-1,深度学习,星期五,1,01-02,王教授,1-18周,外语楼501,选修课,软件工程2201班
2025-1,大学英语(四),星期一,1,03-04,马教授,1-18周,外语楼101,必修课,软件工程2201班
2025-1,线性代数,星期四,1,03-04,李教授,1-18周,体育馆,必修课,计算机科学与技术2103班
2025-1,大学英语(二),星期三,1,03-04,刘教授,1-18周,机房A101,必修课,软件工程2201班
2025-1,高等数学(上),星期四,1,03-04,郑教授,1-18周,图书馆报告厅,必修课,软件工程2201班
2025-1,机器学习,星期三,1,01-02,李教授,1-18周,机房B101,选修课,计算机科学与技术2301班
2025-1,大数据分析,星期四,1,05-06,李教授,1-18周,教C303,选修课,计算机科学与技术2301班
2025-1,机器学习,星期二,1,05-06,王教授,1-18周,教B203,选修课,软件工程2201班
2025-1,大学英语(一),星期一,1,01-02,朱教授,1-18周,外语楼401,必修课,软件工程2202班
2025-1,大数据分析,星期二,1,01-02,周教授,1-18周,教B301,选修课,软件工程2202班
2025-1,概率论与数理统计,星期三,1,01-02,王教授,1-18周,教C302,必修课,软件工程2202班
2025-1,机器学习,星期四,1,01-02,郑教授,1-18周,教B201,选修课,软件工程2202班
2025-1,线性代数,星期五,1,01-02,陈教授,1-18周,教C303,必修课,软件工程2202班
2025-1,大学英语(三),星期一,1,03-04,吴教授,1-18周,教C101,必修课,软件工程2202班
2025-1,大学英语(二),星期二,1,03-04,陈教授,1-18周,教C201,必修课,软件工程2202班
2025-1,人工智能导论,星期三,1,03-04,朱教授,1-18周,教B101,选修课,软件工程2202班
2025-1,深度学习,星期四,1,03-04,张教授,1-18周,教B301,选修课,软件工程2202班
2025-1,大学英语(四),星期五,1,03-04,陈教授,1-18周,教B303,必修课,软件工程2202班
2025-1,高等数学(下),星期一,1,05-06,李教授,1-18周,教A201,必修课,软件工程2202班
2025-1,高等数学(上),星期二,1,05-06,吴教授,1-18周,外语楼401,必修课,软件工程2202班
2025-1,线性代数,星期一,1,01-02,王教授,1-18周,机房A101,必修课,软件工程2203班
2025-1,大学英语(一),星期二,1,01-02,马教授,1-18周,图书馆报告厅,必修课,软件工程2203班
2025-1,线性代数,星期二,1,07-08,马教授,1-18周,体育馆,必修课,软件工程2204班
2025-1,大学英语(二),星期四,1,01-02,赵教授,1-18周,机房B101,必修课,软件工程2203班
2025-1,大学英语(三),星期五,1,01-02,周教授,1-18周,机房B102,必修课,软件工程2203班
2025-1,人工智能导论,星期一,1,03-04,王教授,1-18周,教A303,选修课,软件工程2203班
2025-1,深度学习,星期二,1,03-04,朱教授,1-18周,教A103,选修课,软件工程2203班
2025-1,大数据分析,星期三,1,03-04,朱教授,1-18周,外语楼401,选修课,软件工程2203班
2025-1,机器学习,星期四,1,03-04,刘教授,1-18周,教A203,选修课,软件工程2203班
2025-1,大学英语(四),星期五,1,03-04,赵教授,1-18周,教A203,必修课,软件工程2203班
2025-1,概率论与数理统计,星期一,1,05-06,朱教授,1-18周,机房B101,必修课,软件工程2203班
